
"Bedrifter (antal)"
" ","Region Hovedstaden"
" "," ","4.1 Raps",1796,2333,1809,1862,1858,1253,1334,1830,1809,1911,1684,1729,1583,1498,1405,1503,1628,1643,1390,1219
" "," ","7.2 Ærter til konsum",185,160,151,180,110,108,97,88,83,86,112,116,86,103,75,100,56,12,6,10
" "," ","7.3 Frugt og bær",420,458,368,337,369,297,294,287,285,361,296,331,275,286,278,247,281,285,255,299
" "," ","7.3.1 Æbler",140,178,143,125,145,95,123,111,92,138,117,142,97,114,123,127,127,128,119,131
" "," ","7.3.2 Pærer",73,94,62,47,49,32,36,34,38,38,38,36,27,43,35,35,42,33,26,26
" "," ","7.3.3 Jordbær",143,132,113,91,90,95,92,71,105,77,72,85,99,59,55,47,50,50,36,38
" "," ","7.3.4 Kirsebær",127,125,92,90,100,77,85,84,71,59,59,58,40,50,47,41,48,32,31,37
" "," ","7.3.5 Solbær",66,59,59,63,53,48,53,42,34,18,27,30,18,25,21,19,29,13,9,11
" "," ","7.3.6 Ribs",41,40,24,25,22,21,16,25,21,20,17,17,13,11,14,10,9,13,..,6
" "," ","9. Juletræer og pyntegrønt",487,519,501,558,533,458,651,536,545,452,483,488,434,347,367,400,327,398,321,311
" ","Region Syddanmark"
" "," ","1.1 Hvede",6093,5670,5236,5227,5175,4978,4710,3771,4338,3994,3950,3872,3132,3723,3185,3377,3073,2901,2878,2576
" "," ","1.2.2 Vårbyg",8056,6869,7277,6263,6106,6167,6497,5837,5556,5527,5713,5317,5272,5029,4880,4639,4457,4141,4095,3578
" "," ","1.3 Rug",655,672,498,645,795,852,751,1135,1427,1999,1507,1515,1228,1769,1543,1413,1389,1419,1388,1187
" "," ","1.4 Havre",1853,1471,1849,1410,1246,1194,1231,1215,1003,1374,1512,1404,1732,1354,1489,1534,1403,1232,1068,1521
" "," ","1.6 Majs til modenhed",..,..,..,219,301,258,236,281,210,205,180,206,232,216,237,210,194,215,229,156
" "," ","3.1.2 Industrikartofler",240,264,237,225,211,216,257,220,262,215,216,211,158,261,244,236,192,225,199,227
" "," ","3.2 Sukkerroer til fabrik",1233,662,48,31,26,32,22,18,15,17,10,14,28,7,16,16,12,10,17,12
" "," ","4.1 Raps",2650,3221,2906,2438,2325,2349,1557,2265,1870,2325,2024,1898,1575,1573,1460,1441,1632,1711,1525,1185
" "," ","7.2 Ærter til konsum",29,45,56,51,48,35,57,33,24,22,24,32,27,34,38,34,56,44,33,40
" "," ","7.3 Frugt og bær",496,464,511,427,438,400,452,468,478,329,367,403,368,333,369,352,377,385,391,407
" "," ","7.3.1 Æbler",158,165,195,163,169,139,172,165,146,150,169,176,145,140,152,156,156,168,163,163
" "," ","7.3.2 Pærer",103,127,121,79,72,60,96,65,62,56,65,61,60,51,52,51,44,49,43,43
" "," ","7.3.3 Jordbær",197,180,178,146,131,109,147,123,229,71,110,114,118,92,97,88,88,84,85,82
" "," ","7.3.4 Kirsebær",142,139,134,108,103,84,75,106,70,60,56,55,51,57,53,42,61,43,48,42
" "," ","7.3.5 Solbær",82,76,71,72,77,80,93,61,95,30,38,28,32,19,25,20,20,22,19,21
" "," ","7.3.6 Ribs",53,58,52,35,31,31,30,21,21,17,19,21,36,16,15,11,12,9,12,10
" "," ","9. Juletræer og pyntegrønt",919,786,828,780,965,957,887,834,1058,960,930,882,943,785,739,730,614,714,583,610
" ","Region Midtjylland"
" "," ","1.1 Hvede",6401,6150,5844,5723,5695,5289,4744,3928,4708,4255,4361,4229,3614,3940,3404,3314,3382,3298,2721,2649
" "," ","1.2.2 Vårbyg",9474,8131,8307,7573,7043,7270,7121,7278,6822,6733,6780,6475,6190,5544,5430,4923,5077,4807,4184,3993
" "," ","1.3 Rug",777,781,748,964,1054,1108,1090,1622,1990,2518,2101,2208,1852,2418,1941,1731,1987,1722,1645,1546
" "," ","1.4 Havre",2272,1899,2157,1786,1415,1451,1358,1482,905,1083,1554,1479,1652,1281,1394,1417,1392,1159,987,1416
" "," ","1.6 Majs til modenhed",..,..,..,94,143,150,121,131,195,71,118,96,139,137,118,123,116,104,89,96
" "," ","3.1.2 Industrikartofler",478,404,405,391,346,396,437,326,323,248,326,340,356,317,378,341,339,348,314,360
" "," ","3.2 Sukkerroer til fabrik",19,5,11,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" "," ","4.1 Raps",2598,3031,3026,2575,2296,2005,1759,1962,1877,2150,2005,1742,1659,1917,1490,1639,1839,1951,1577,1370
" "," ","7.2 Ærter til konsum",31,25,20,29,28,26,26,22,16,17,23,65,21,19,17,13,24,28,14,25
