
"Bedrifter (antal)"
" ","Region Hovedstaden"
" "," ","7.3.4 Kirsebær",..,..,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" "," ","7.3.5 Solbær",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" "," ","7.3.6 Ribs",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" "," ","9. Juletræer og pyntegrønt",23,29,28,25,25,17,37,32,23,18,28,57,26,28,22,24,22,29,25,20
" ","Region Sjælland"
" "," ","1.1 Hvede",5189,4873,4382,4500,4162,4032,3745,3495,3654,3642,3555,3203,2891,2999,2789,2859,2597,2647,2480,2208
" "," ","1.2.2 Vårbyg",5484,4855,5250,4759,4330,4501,4180,4066,3687,3739,3819,3660,4075,3177,3098,2998,2886,2814,2515,2326
" "," ","1.3 Rug",147,171,135,182,207,138,203,354,254,322,297,316,266,349,358,326,333,311,377,321
" "," ","1.4 Havre",730,636,723,757,507,518,413,364,318,337,375,440,482,319,383,287,264,232,234,298
" "," ","1.6 Majs til modenhed",..,..,..,315,490,497,434,390,372,396,370,365,555,415,468,431,512,423,354,309
" "," ","3.1.2 Industrikartofler",..,..,..,..,..,..,..,..,..,5,..,..,..,..,8,17,..,..,..,7
" "," ","3.2 Sukkerroer til fabrik",2336,2014,1795,1544,1440,1453,1583,1322,1265,1033,1108,901,980,746,769,823,726,698,621,600
" "," ","4.1 Raps",1796,2333,1809,1862,1858,1253,1334,1830,1809,1911,1684,1729,1583,1498,1405,1503,1628,1643,1390,1219
" "," ","7.2 Ærter til konsum",185,160,151,180,110,108,97,88,83,86,112,116,86,103,75,100,56,12,6,10
" "," ","7.3 Frugt og bær",420,458,368,337,369,297,294,287,285,361,296,331,275,286,278,247,281,285,255,299
" "," ","7.3.1 Æbler",140,178,143,125,145,95,123,111,92,138,117,142,97,114,123,127,127,128,119,131
" "," ","7.3.2 Pærer",73,94,62,47,49,32,36,34,38,38,38,36,27,43,35,35,42,33,26,26
" "," ","7.3.3 Jordbær",143,132,113,91,90,95,92,71,105,77,72,85,99,59,55,47,50,50,36,38
" "," ","7.3.4 Kirsebær",127,125,92,90,100,77,85,84,71,59,59,58,40,50,47,41,48,32,31,37
" "," ","7.3.5 Solbær",66,59,59,63,53,48,53,42,34,18,27,30,18,25,21,19,29,13,9,11
" "," ","7.3.6 Ribs",41,40,24,25,22,21,16,25,21,20,17,17,13,11,14,10,9,13,..,6
" "," ","9. Juletræer og pyntegrønt",487,519,501,558,533,458,651,536,545,452,483,488,434,347,367,400,327,398,321,311
" ","Region Syddanmark"
" "," ","1.1 Hvede",6093,5670,5236,5227,5175,4978,4710,3771,4338,3994,3950,3872,3132,3723,3185,3377,3073,2901,2878,2576
" "," ","1.2.2 Vårbyg",8056,6869,7277,6263,6106,6167,6497,5837,5556,5527,5713,5317,5272,5029,4880,4639,4457,4141,4095,3578
" "," ","1.3 Rug",655,672,498,645,795,852,751,1135,1427,1999,1507,1515,1228,1769,1543,1413,1389,1419,1388,1187
" "," ","1.4 Havre",1853,1471,1849,1410,1246,1194,1231,1215,1003,1374,1512,1404,1732,1354,1489,1534,1403,1232,1068,1521
