"Hektar"
" ","Region Hovedstaden"
" "," ","4.1 Raps",35683,55615,48927,46158,48235,50950,31378,52458,46388,53223,46192,51109,37809,40277,39323,39488,47929,52653,50772,38375
" "," ","7.2 Ærter til konsum",63,176,428,218,364,404,606,228,692,656,687,796,1003,1182,846,594,562,667,760,942
" "," ","7.3 Frugt og bær",3327,3468,3712,3215,3385,3557,3297,3239,3709,3238,2661,2417,2641,2330,2243,2029,1985,2079,2047,1840
" "," ","7.3.1 Æbler",827,858,852,829,819,785,796,792,778,781,761,754,970,784,745,737,751,684,694,644
" "," ","7.3.2 Pærer",194,230,233,199,180,170,181,148,164,161,172,173,152,141,138,130,133,156,116,128
" "," ","7.3.3 Jordbær",376,348,419,293,368,394,431,362,607,345,368,396,358,387,343,315,328,335,249,236
" "," ","7.3.4 Kirsebær",805,788,868,650,627,599,493,465,466,418,337,285,239,300,300,281,180,227,227,198
" "," ","7.3.5 Solbær",783,798,867,806,883,1016,846,897,921,881,416,304,251,190,209,94,93,94,70,87
" "," ","7.3.6 Ribs",216,261,263,211,203,236,208,153,164,97,158,154,253,127,81,31,30,20,22,13
" "," ","9. Juletræer og pyntegrønt",4156,3743,5120,3787,5419,4512,4907,4733,6737,6199,6127,5299,7331,6398,7696,7466,7643,8172,6754,5817
" ","Region Midtjylland"
" "," ","1.1 Hvede",180709,186244,173122,194622,206256,197369,167839,147920,184661,165421,153657,156432,119834,150274,132661,139373,134131,128455,117454,117175
" "," ","1.2.2 Vårbyg",181220,153048,173966,144494,138286,154234,184497,202787,164942,163004,196556,176639,217114,152270,181140,180398,180948,165878,165447,155079
" "," ","1.3 Rug",8320,8855,9363,14229,16807,18882,20070,30616,37879,46735,36367,41851,34254,59276,42574,38497,41981,37411,36907,36600
" "," ","1.4 Havre",19250,17913,21330,17449,12758,13104,15031,16884,9011,11474,15728,15978,22469,15398,20716,20646,20174,16561,15995,23435
" "," ","1.6 Majs til modenhed",..,..,..,1258,2583,2816,2751,3184,2822,2582,1704,1509,2347,1635,2169,2118,2559,2064,2409,2483
" "," ","3.1.2 Industrikartofler",10224,11444,11298,9811,9205,10262,10614,11736,10970,11124,13227,14826,14957,17331,21317,19300,21474,23122,23257,27557
" "," ","3.2 Sukkerroer til fabrik",208,30,21,47,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" "," ","4.1 Raps",33983,47017,54312,45358,43479,40676,38335,41591,40210,48829,42333,43142,39681,47656,39178,44776,51438,56022,48545,43243
" "," ","7.2 Ærter til konsum",41,45,30,54,72,47,48,40,38,46,41,86,56,105,64,42,68,57,19,32
" "," ","7.3 Frugt og bær",1033,871,926,957,949,936,839,1242,991,657,618,550,564,507,725,592,695,924,952,1428
