"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Vårbyg";48.1;52.5;59.4;57.9;50.4;54.0;64.3;48.4;60.6;24.4;41.6
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Havre, blandsæd og andet korn";7.4;6.5;8.3;10.3;6.3;5.7;16.8;7.5;6.5;6.0;5.9
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Majs til modenhed";0.5;0.5;0.4;0.5;0.5;0.6;0.5;0.4;0.4;0.5;0.5
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"RAPS I ALT";23.9;26.8;18.5;24.9;14.8;22.6;19.2;20.6;26.4;20.6;17.9
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Vinterraps";23.9;..;..;..;..;..;..;..;..;..;..
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Vårraps";0.0;..;..;..;..;..;..;..;..;..;..
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"BÆLGSÆD I ALT";0.5;0.8;0.9;1.9;2.0;1.5;1.7;1.2;2.6;0.8;1.3
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Markærter";0.4;0.5;0.3;0.6;0.4;0.2;0.7;0.7;1.6;0.4;0.4
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Hestebønner";..;..;..;..;..;..;1.1;0.5;0.9;0.4;0.9
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"HALM I ALT, DER ER BJÆRGET";47.8;43.5;34.4;46.0;46.8;37.3;37.7;28.6;43.4;28.3;51.2
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Halm af korn, der er bjærget";46.3;42.4;32.6;44.2;44.0;35.8;37.5;27.9;41.8;28.1;49.6
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"RODFRUGTER (ROD) I ALT";29.3;15.5;15.4;25.8;18.8;35.2;27.2;27.1;26.1;26.3;28.2
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Læggekartofler under kontrol";0.6;0.2;0.2;0.2;0.3;1.0;1.2;1.5;1.6;2.4;1.5
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Kartofler til melproduktion";3.0;77.9;80.5;0.0;0.0;0.0;1.5;0.3;0.0;0.8;0.4
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Spisekartofler";14.7;11.8;11.6;17.9;10.5;29.7;19.5;19.9;20.8;12.1;14.9
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Sukkerroer til fabrik";5.8;0.7;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Fodersukkerroer og anden rodfrugt til foder";5.1;2.8;2.1;7.7;8.0;4.6;5.1;5.4;3.7;11.0;11.5
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"GRÆS, GRØNTFODER OG EFTERSLÆT I ALT";581.6;519.0;547.9;583.0;469.9;530.6;445.2;590.1;483.0;507.0;524.5
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Lucerne";4.1;4.1;5.0;4.8;1.3;2.3;5.1;3.6;2.8;2.4;3.5
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Majs til ensilering";33.6;21.1;24.8;24.4;22.6;26.8;21.5;21.8;17.0;15.2;14.5
"Produktion (mio. kg)";"Landsdelene Byen København, Københavns omegn og Nordsjælland";"Korn til ensilering";6.7;6.6;5.6;7.5;5.2;9.1;8.4;5.3;3.6;2.5;3.0
